order_id,customer_id,order_date,status,channel
3501,257,2026-02-17,completed,mobile
2831,203,2025-02-05,returned,mobile
1023,184,2025-07-20,returned,store
5558,467,2024-01-20,completed,mobile
2453,496,2024-12-31,completed,store
1800,163,2024-10-10,cancelled,web
3586,433,2025-06-08,cancelled,mobile
4656,351,2026-02-21,shipped,store
1395,245,2025-08-08,completed,mobile
1239,279,2026-05-22,completed,web
5409,326,2025-04-28,completed,web
3594,271,2024-06-06,completed,web
2555,316,2025-02-06,completed,mobile
4482,378,2024-02-26,completed,mobile
1703,97,2024-02-07,shipped,web
2752,130,2026-02-20,completed,web
1555,63,2024-02-14,shipped,web
1296,387,2025-07-22,completed,web
4591,172,2024-09-14,returned,mobile
3744,48,2024-05-18,completed,store
3507,116,2025-10-23,shipped,store
3445,204,2025-01-15,shipped,mobile
3798,351,2026-05-26,cancelled,web
1307,366,2024-08-14,shipped,store
1282,463,2024-01-08,returned,web
1272,328,2026-03-13,shipped,web
2356,398,2025-06-09,shipped,web
5574,82,2026-05-04,shipped,web
2318,128,2025-10-27,completed,store
4791,70,2024-11-02,completed,web
2724,441,2026-02-14,returned,web
5664,181,2026-01-13,shipped,mobile
1292,296,2025-01-25,completed,store
3791,70,2024-12-15,completed,mobile
1963,307,2024-06-07,cancelled,mobile
2126,83,2025-06-03,cancelled,web
4580,334,2025-07-03,completed,web
2486,349,2025-01-15,returned,mobile
5121,476,2026-02-09,completed,mobile
2335,134,2025-11-04,completed,web
1246,450,2025-01-28,completed,store
3223,297,2025-02-09,completed,store
5740,497,2024-07-16,completed,web
4359,475,2024-06-24,returned,store
1470,305,2024-11-07,completed,web
1241,315,2025-11-19,returned,web
2473,199,2024-04-18,returned,mobile
5096,158,2024-04-18,cancelled,web
3747,326,2024-05-01,completed,web
3147,490,2024-12-11,completed,web
4197,71,2026-01-17,completed,web
2611,187,2025-05-04,returned,mobile
4966,89,2024-09-22,completed,store
1907,39,2025-05-18,cancelled,store
2224,154,2024-05-07,completed,web
1225,124,2025-09-19,completed,web
2684,310,2026-05-18,cancelled,web
4098,236,2026-02-05,returned,web
1872,482,2025-08-15,completed,store
3060,405,2025-06-28,completed,web
1499,377,2025-05-14,completed,store
5815,85,2026-04-10,shipped,store
1186,360,2025-09-21,completed,store
5336,430,2026-01-05,completed,mobile
5779,190,2024-01-24,cancelled,web
3692,299,2024-12-01,completed,store
2753,490,2026-04-28,completed,partner
1042,418,2024-10-05,cancelled,web
4686,304,2024-07-13,returned,web
1667,337,2026-03-27,completed,mobile
4202,293,2026-02-08,completed,mobile
5713,20,2026-05-09,completed,store
4288,146,2024-04-28,cancelled,mobile
4383,13,2025-11-20,completed,store
4950,78,2025-10-05,completed,web
4618,196,2024-10-06,cancelled,mobile
4649,40,2026-02-03,completed,mobile
4682,292,2024-06-16,completed,web
1814,122,2025-04-16,completed,web
1896,31,2025-03-26,completed,web
1117,149,2025-12-22,completed,mobile
4757,26,2026-02-17,completed,mobile
1331,148,2024-08-03,returned,web
3591,169,2024-11-30,completed,mobile
5766,8,2025-05-19,shipped,mobile
1252,330,2025-07-09,returned,store
1300,160,2024-04-27,completed,store
3698,478,2024-10-31,completed,mobile
5526,192,2026-02-08,completed,mobile
2120,310,2024-07-17,cancelled,web
5323,432,2025-07-08,completed,web
1826,209,2025-09-19,completed,mobile
4109,230,2025-12-06,cancelled,store
5002,129,2025-01-21,returned,web
3446,235,2024-12-21,completed,web
2296,63,2025-08-13,shipped,web
2030,404,2024-05-07,completed,web
5014,6,2025-12-28,completed,web
2534,238,2024-02-07,completed,partner
2788,60,2025-10-31,cancelled,store
2854,162,2024-06-04,completed,store
3915,413,2026-03-20,cancelled,store
2751,54,2025-11-06,completed,mobile
5745,148,2026-02-12,cancelled,store
1694,338,2026-05-11,completed,partner
5145,475,2025-06-15,completed,mobile
5203,40,2024-01-07,completed,web
5863,39,2024-11-13,cancelled,web
5651,308,2025-02-03,completed,web
1379,403,2024-04-05,completed,store
5309,137,2024-01-24,returned,web
5146,351,2024-03-02,completed,mobile
3197,182,2024-04-02,returned,mobile
3740,47,2024-09-03,cancelled,web
1858,250,2025-09-23,returned,mobile
4430,190,2025-02-10,completed,mobile
3987,330,2024-05-11,completed,store
2264,422,2025-04-06,cancelled,web
2491,152,2025-05-10,completed,web
3418,270,2025-04-01,returned,store
4219,439,2026-05-12,completed,web
4719,192,2025-01-12,returned,web
5222,375,2024-03-15,completed,mobile
2499,327,2025-06-12,shipped,store
4226,239,2026-04-03,returned,mobile
5800,110,2025-06-12,completed,mobile
2050,456,2026-02-19,completed,mobile
2584,4,2026-04-19,completed,mobile
5471,232,2025-05-17,completed,mobile
2200,439,2024-03-25,cancelled,store
3253,157,2025-10-03,completed,mobile
3293,496,2025-12-03,returned,mobile
3105,476,2026-01-02,cancelled,web
3722,43,2026-05-03,completed,partner
2863,440,2024-03-26,completed,mobile
2073,486,2026-03-12,completed,mobile
4258,282,2025-09-28,completed,web
2369,277,2025-06-24,returned,store
4232,456,2024-07-27,cancelled,store
2437,209,2024-07-03,returned,web
1522,437,2025-02-06,returned,web
1507,405,2026-05-02,completed,web
2001,393,2025-09-24,completed,web
5075,425,2024-06-19,shipped,web
2766,410,2025-07-18,completed,web
5712,227,2024-08-14,completed,mobile
3344,20,2024-02-27,shipped,web
3675,448,2024-06-13,cancelled,store
1012,408,2026-02-12,completed,mobile
3163,92,2026-01-21,returned,store
2500,437,2025-04-03,completed,web
2332,469,2026-03-30,completed,web
1755,147,2025-07-06,completed,store
3809,229,2026-04-21,completed,web
5661,71,2024-07-04,completed,mobile
2564,138,2026-04-06,completed,partner
4186,178,2024-07-10,completed,web
5735,114,2025-01-30,returned,mobile
5032,207,2026-05-23,completed,mobile
1263,45,2024-09-14,completed,store
3025,186,2024-05-29,completed,partner
3413,189,2025-08-19,cancelled,web
3462,291,2024-11-09,completed,partner
5207,210,2024-09-29,cancelled,mobile
5955,55,2025-03-11,completed,web
4269,388,2025-04-16,cancelled,mobile
1166,81,2025-12-01,completed,mobile
5364,473,2024-07-31,cancelled,mobile
5354,,2025-06-21,completed,store
5088,130,2025-11-12,completed,mobile
2249,399,2026-02-08,shipped,web
2977,325,2026-05-04,shipped,mobile
4216,389,2025-10-01,completed,web
1661,433,2024-06-06,cancelled,partner
5106,361,2025-08-11,completed,web
1706,410,2024-06-23,returned,web
4009,252,2026-03-05,returned,store
2449,315,2025-03-01,completed,web
2388,138,2025-02-13,cancelled,store
4646,276,2026-04-22,completed,partner
1360,161,2025-03-21,completed,web
1291,366,2025-12-03,completed,store
1970,312,2026-05-13,completed,web
5280,496,2025-12-09,completed,store
3972,58,2026-01-16,completed,mobile
4094,314,2025-12-17,cancelled,web
1243,286,2024-02-19,cancelled,mobile
2845,60,2025-07-02,completed,web
4815,,2025-04-06,completed,web
2012,228,2026-02-10,cancelled,mobile
1608,212,2025-09-02,returned,store
3628,26,2025-09-13,completed,store
5432,244,2024-04-26,returned,web
1818,467,2025-12-05,completed,web
3026,121,2026-01-09,completed,mobile
5111,342,2026-04-30,completed,mobile
2462,453,2025-01-29,completed,web
4891,481,2025-06-03,completed,web
4151,402,2024-09-11,completed,web
1848,500,2025-09-28,returned,web
3217,488,2025-07-21,completed,mobile
1085,8,2025-08-02,cancelled,web
4804,36,2025-07-27,completed,web
5738,70,2025-06-13,shipped,web
5310,453,2025-04-16,shipped,mobile
4600,91,2025-08-17,completed,web
3516,203,2024-10-01,completed,web
4621,216,2024-04-25,shipped,mobile
5169,342,2025-12-20,completed,partner
3186,43,2026-01-05,shipped,web
